09-Jul-2012 10:30:33
Nr	 Tot	 ElapsedTime	 Clock	 Orientation
1	 96	 4.25	 10:30:37.915	 225
2	 96	 8.31	 10:30:41.970	 90
3	 96	 12.33	 10:30:45.993	 270
4	 96	 16.35	 10:30:50.015	 315
5	 96	 20.37	 10:30:54.037	 180
6	 96	 24.40	 10:30:58.060	 0
7	 96	 28.42	 10:31:02.082	 45
8	 96	 32.44	 10:31:06.105	 135
9	 96	 36.46	 10:31:10.127	 315
10	 96	 40.48	 10:31:14.149	 90
11	 96	 44.51	 10:31:18.172	 225
12	 96	 48.53	 10:31:22.194	 270
13	 96	 52.56	 10:31:26.225	 180
14	 96	 56.59	 10:31:30.255	 0
15	 96	 60.61	 10:31:34.277	 45
16	 96	 64.63	 10:31:38.300	 135
17	 96	 68.66	 10:31:42.322	 225
18	 96	 72.68	 10:31:46.345	 0
19	 96	 76.70	 10:31:50.367	 180
20	 96	 80.72	 10:31:54.389	 90
21	 96	 84.75	 10:31:58.412	 270
22	 96	 88.77	 10:32:02.434	 45
23	 96	 92.79	 10:32:06.457	 315
24	 96	 96.81	 10:32:10.479	 135
25	 96	 100.83	 10:32:14.501	 315
26	 96	 104.86	 10:32:18.524	 225
27	 96	 108.88	 10:32:22.546	 135
28	 96	 112.90	 10:32:26.569	 180
29	 96	 116.92	 10:32:30.591	 0
30	 96	 120.95	 10:32:34.613	 270
31	 96	 124.97	 10:32:38.636	 90
32	 96	 128.99	 10:32:42.658	 45
33	 96	 133.01	 10:32:46.681	 315
34	 96	 137.05	 10:32:50.720	 45
35	 96	 141.07	 10:32:54.742	 90
36	 96	 145.10	 10:32:58.765	 0
37	 96	 149.12	 10:33:02.787	 225
38	 96	 153.14	 10:33:06.810	 180
39	 96	 157.16	 10:33:10.832	 135
40	 96	 161.18	 10:33:14.854	 270
41	 96	 165.21	 10:33:18.877	 180
42	 96	 169.23	 10:33:22.899	 45
43	 96	 173.25	 10:33:26.922	 0
44	 96	 177.27	 10:33:30.944	 270
45	 96	 181.30	 10:33:34.966	 225
46	 96	 185.32	 10:33:38.989	 315
47	 96	 189.36	 10:33:43.027	 90
48	 96	 193.38	 10:33:47.050	 135
49	 96	 197.40	 10:33:51.072	 270
50	 96	 201.42	 10:33:55.094	 225
51	 96	 205.45	 10:33:59.117	 90
52	 96	 209.47	 10:34:03.139	 315
53	 96	 213.49	 10:34:07.162	 180
54	 96	 217.51	 10:34:11.184	 135
55	 96	 221.53	 10:34:15.206	 0
56	 96	 225.56	 10:34:19.229	 45
57	 96	 229.58	 10:34:23.251	 135
58	 96	 233.60	 10:34:27.274	 225
59	 96	 237.62	 10:34:31.296	 45
60	 96	 241.65	 10:34:35.318	 270
61	 96	 245.67	 10:34:39.341	 90
62	 96	 249.69	 10:34:43.363	 315
63	 96	 253.73	 10:34:47.403	 180
64	 96	 257.75	 10:34:51.425	 0
65	 96	 261.77	 10:34:55.448	 135
66	 96	 265.80	 10:34:59.470	 180
67	 96	 269.82	 10:35:03.492	 315
68	 96	 273.84	 10:35:07.515	 225
69	 96	 277.86	 10:35:11.537	 90
70	 96	 281.88	 10:35:15.560	 270
71	 96	 285.91	 10:35:19.582	 0
72	 96	 289.93	 10:35:23.604	 45
73	 96	 293.95	 10:35:27.627	 180
74	 96	 297.97	 10:35:31.649	 45
75	 96	 302.00	 10:35:35.672	 225
76	 96	 306.02	 10:35:39.694	 135
77	 96	 310.04	 10:35:43.716	 315
78	 96	 314.06	 10:35:47.739	 270
79	 96	 318.08	 10:35:51.761	 0
80	 96	 322.11	 10:35:55.784	 90
81	 96	 326.15	 10:35:59.822	 225
82	 96	 330.17	 10:36:03.844	 0
83	 96	 334.19	 10:36:07.867	 135
84	 96	 338.21	 10:36:11.889	 90
85	 96	 342.23	 10:36:15.912	 315
86	 96	 346.26	 10:36:19.934	 270
87	 96	 350.28	 10:36:23.956	 45
88	 96	 354.30	 10:36:27.979	 180
89	 96	 358.32	 10:36:32.001	 135
90	 96	 362.35	 10:36:36.024	 90
91	 96	 366.37	 10:36:40.046	 315
92	 96	 370.39	 10:36:44.068	 0
93	 96	 374.41	 10:36:48.091	 180
94	 96	 378.43	 10:36:52.113	 45
95	 96	 382.46	 10:36:56.136	 225
96	 96	 386.48	 10:37:00.158	 270
